Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,Low,High,Sector
LLY,139.66,9.35,5.55,6.04,22.59,92.34%,13.78%,Medical,1.36072E+11,136.07,2.96,101.36,10/23/2019,147.87,136.42,27.42,5.55,Aerospace
LMT,350.5,-26.9,2.12,21.94,15.43,76.63%,31.17%,Aerospace,99715136000,99.72,9.6,266.11,3/23/2020,442.53,338.52,24.08,20.8,Finance
LNC,23.46,-20.79,-4,9.13,2.61,-58.58%,27.33%,Finance,4597103000,4.6,1.6,16.11,3/23/2020,67.52,23.85,31.33,65.25,Utilities
LNT,45.15,-9.62,-2.6,2.31,19.47,48.62%,8.88%,Utilities,11496854000,11.5,1.52,37.66,3/23/2020,60.28,44.97,16.59,25.1,Retail-Wholesale
LOW,82.2,-26.36,-4.78,5.72,14.06,10.63%,28.32%,Retail-Wholesale,63510116000,63.51,2.2,60,3/19/2020,126.73,80.42,27.01,35.14,Computers and Technology
LRCX,218.15,-73.31,-23.07,14.51,15.39,201.74%,109.53%,Computers and Technology,32103524000,32.1,4.6,171.04,6/3/2019,344.32,223.33,21.6,36.64,Transportation
LUV,30.54,-14.67,-5.84,4.28,7.49,-26.44%,20.55%,Transportation,16294825000,16.29,0.72,29.15,3/18/2020,58.83,32.04,4.55,48.09,Consumer Discretionary
LVS,37.92,-17.98,-4.18,3.26,12.36,-32.08%,-5.79%,Consumer Discretionary,30753596000,30.75,3.16,33.3,3/18/2020,74.29,40.3,12.18,48.96,Consumer Staples
LW,50.2,-35.3,-7.05,3.43,15.69,0.00%,33.44%,Consumer Staples,7287069000,7.29,0.92,39.06,3/18/2020,96.32,51,22.19,47.88,Basic Materials
LYB,46.1,-26.14,-3.3,9.58,4.7,-49.76%,-23.86%,Basic Materials,15316845000,15.32,4.2,33.71,3/16/2020,98.91,45.03,26.88,53.39,Consumer Discretionary
LYV,33.57,-24.04,-13.58,-0.07,0,31.59%,68.17%,Consumer Discretionary,7283328000,7.28,0,21.7,3/18/2020,76.6,38.88,35.36,56.17,Retail-Wholesale
M,4.81,-7.84,-0.72,2.91,1.52,-93.57%,-9.87%,Retail-Wholesale,1374894000,1.37,0,4.38,4/2/2020,26.33,4.43,8.94,81.73,Business Services
MA,237.03,-54.97,-10.62,7.78,29.38,169.71%,78.22%,Business Services,2.401E+11,240.1,1.6,199.99,3/23/2020,347.25,228.61,15.63,31.74,Finance
MAA,94.31,-42.96,-13.29,2.87,15.53,24.55%,65.88%,Finance,10770042000,10.77,4,82,3/23/2020,148.88,98.74,13.05,36.65,Consumer Discretionary
MAR,59.08,-55.2,-19.77,6.01,11.51,-21.56%,52.02%,Consumer Discretionary,20425544000,20.43,1.92,46.56,3/18/2020,153.39,69.15,21.19,61.48,Construction
MAS,32.41,-10.76,-2.24,2.54,13.07,24.24%,-21.29%,Construction,9168031000,9.17,0.54,27.04,3/23/2020,50.06,33.2,16.57,35.26,Retail-Wholesale
EL,154.08,-34.31,-6.6,5.97,25.69,78.82%,35.50%,Consumer Staples,53646816000,53.65,1.92,137.01,3/18/2020,220.42,153.38,11.08,30.1,Basic Materials
MCHP,64.04,-25.37,-4.16,5.05,12.43,29.96%,177.00%,Computers and Technology,15565180000,15.57,1.47,53.15,3/19/2020,112.47,62.79,17,43.06,Medical
MCK,125.49,-22.31,-0.21,14.41,9.23,-42.41%,55.74%,Medical,22859354000,22.86,1.64,111.71,4/17/2019,172.18,133.06,10.98,27.12,Finance
MCO,208.79,-44.08,-11.4,8.29,23.83,95.52%,44.83%,Finance,38699636000,38.7,2.24,164.19,3/23/2020,287.25,197.55,21.36,27.31,Consumer Staples
MDLZ,50.79,-4,2.9,2.47,19.71,34.71%,-24.46%,Consumer Staples,72191672000,72.19,1.14,41.19,3/23/2020,59.96,48.68,18.9,15.29,Medical
MDT,86.27,-14.13,-3.62,5.55,15.15,10.55%,79.69%,Medical,1.15455E+11,115.46,2.16,72.13,3/18/2020,122.15,84.11,16.39,29.37,Finance
MET,27.72,-14.85,-3.15,6.11,4.57,-38.18%,-5.04%,Finance,25688974000,25.69,1.76,22.85,3/23/2020,53.28,27.9,17.57,47.97,Consumer Discretionary
MGM,10.58,-12.72,-1.61,0.74,15.91,-48.96%,27.95%,Consumer Discretionary,5670874000,5.67,0.6,5.9,3/18/2020,34.63,11.77,44.23,69.45,Consumer Discretionary
MHK,62.01,-55.21,-16.03,10.02,6.68,-64.72%,27.77%,Consumer Discretionary,4648710000,4.65,0,56.62,3/23/2020,156.6,66.92,8.69,60.4,Consumer Staples
MKC,146.88,-3.02,14.59,5.35,26.11,86.77%,26.02%,Consumer Staples,19300296000,19.3,2.48,112.22,3/23/2020,174.58,138.62,23.6,15.87,Finance
MKTX,387.27,35.69,44.49,5.4,61.85,294.33%,94.60%,Finance,13169932000,13.17,2.4,241.12,4/4/2019,421.45,333.99,37.74,8.11,Construction
MLM,169.51,-69.43,-11.71,9.74,19.11,30.18%,60.22%,Construction,11217590000,11.22,2.2,135.08,3/18/2020,281.82,186.12,20.31,39.85,Finance
MMC,79.9,-26.62,-5.55,4.66,17.6,44.87%,28.58%,Finance,41697560000,41.7,1.82,74.33,3/23/2020,119.88,82.02,6.97,33.35,Conglomerates
MMM,133.79,-11.45,0.55,8.96,14.86,-17.45%,0.99%,Conglomerates,79305288000,79.31,5.88,114.04,3/23/2020,219.75,133.14,14.76,39.12,Consumer Staples
MNST,54.22,-9.56,-2.17,2.03,26.16,19.40%,70.43%,Consumer Staples,29561494000,29.56,0,50.06,3/20/2020,70.52,53.1,7.67,23.11,Consumer Staples
MO,37.41,-4.49,0.77,4.1,9.17,-31.02%,2.40%,Consumer Staples,67310056000,67.31,3.36,30.95,3/23/2020,57.11,37.61,17.27,34.49,Basic Materials
MOS,9.94,-7.07,0.04,0.16,63.19,-78.58%,-1.65%,Basic Materials,3719463000,3.72,0.2,6.5,3/18/2020,28.01,10.11,34.61,64.51,Oils-Energy
MPC,20.06,-25.11,-3.09,4.83,4.32,-57.74%,26.72%,Oils-Energy,13782475000,13.78,2.32,15.26,3/19/2020,69.65,20.87,23.93,71.2,Medical
MRK,76.25,-2.88,4.52,5.19,14.22,34.27%,10.90%,Medical,1.94963E+11,194.96,2.44,65.25,3/23/2020,92.64,73.8,14.43,17.69,Oils-Energy
MRO,3.65,-4.43,0.13,0.75,4.16,-88.11%,-53.32%,Oils-Energy,2761600000,2.76,0.2,3.02,4/1/2020,18.93,3.12,17.26,80.72,Finance
MS,33.85,-10.55,-0.16,4.97,6.36,-6.46%,20.84%,Finance,54215460000,54.22,1.4,27.2,3/18/2020,57.57,31.62,19.65,41.2,Computers and Technology
MSCI,270.61,-38.04,-5.13,6.44,42.12,373.58%,56.30%,Computers and Technology,24398452000,24.4,2.72,204.64,4/4/2019,335.43,271.28,24.38,19.32,Computers and Technology
MSFT,153.83,-10.68,4.13,5.4,28.17,272.15%,44.93%,Computers and Technology,1.18091E+12,1180.91,2.04,118.38,4/4/2019,190.7,152.11,23.04,19.33,Computers and Technology
