Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,Low,High,Sector
A,70.42,-9.9,-0.49,3.17,21.74,65.99%,-26.04%,Computers and Technology,22384672000,22.38,0.72,61.13,3/16/2020,90.64,68.92,13.19,22.31,Computers and Technology
AAL,9.39,-8.46,-4.65,4.91,2.18,-78.92%,7.31%,Transportation,4286154000,4.29,0.4,9.09,4/3/2020,35.24,10.69,3.19,73.35,Transportation
AAP,84.65,-45.68,-10.95,8.2,10.87,-41.14%,-1.37%,Retail-Wholesale,6121331000,6.12,1,71.33,3/23/2020,182.56,89.17,15.74,53.63,Retail-Wholesale
AAPL,241.41,-47.91,-6.33,12.66,19.03,92.71%,42.33%,Computers and Technology,1.07169E+12,1071.69,3.08,170.27,6/3/2019,327.85,240.91,29.47,26.37,Computers and Technology
ABBV,73.37,-14.2,0.7,8.94,8.21,21.18%,66.66%,Medical,1.10942E+11,110.94,4.72,62.55,3/23/2020,97.86,73.42,14.75,25.03,Medical
ABC,81.34,-4.53,-0.44,7.24,11.91,-27.27%,50.20%,Medical,17272196000,17.27,1.68,70.55,4/22/2019,97.5,86.23,13.27,16.57,Medical
ABMD,141.4,-7.78,-3.84,4.21,34.32,106.60%,318.99%,Medical,6456625000,6.46,0,119.01,3/23/2020,288.09,144.48,15.83,50.92,Medical
ABT,79.45,1.46,4.89,3.24,23.63,68.48%,57.57%,Medical,1.40087E+11,140.09,1.44,61.61,3/23/2020,92.45,76.57,22.45,14.06,Medical
BA,124.52,-156.1,-37.48,5.2,25.13,-20.15%,-15.65%,Aerospace,69419744000,69.42,0,89,3/18/2020,398.66,130.7,28.53,68.77,Aerospace
ADBE,293.61,-54.73,-12.22,7.07,42.6,297.18%,169.38%,Computers and Technology,1.46448E+11,146.45,0,255.13,3/18/2020,386.74,301.21,13.11,24.08,Computers and Technology
ADI,86.56,-20.64,-2.11,4.84,17.37,36.52%,109.13%,Computers and Technology,32292892000,32.29,2.48,79.07,3/18/2020,127.3,84.09,8.65,32,Computers and Technology
ADM,34.65,-3.41,1.15,3.25,10.42,-28.42%,-20.38%,Consumer Staples,19128952000,19.13,1.44,28.92,3/23/2020,47.2,33.87,16.54,26.59,Consumer Staples
ADP,128.57,-26.67,-2.81,5.77,22.48,52.36%,16.13%,Business Services,56797240000,56.8,3.64,103.11,3/18/2020,182.32,129.72,19.8,29.48,Business Services
ADS,26.49,-53.19,-9.98,16.33,1.9,-90.60%,5.25%,Business Services,1347396000,1.35,2.52,20.51,3/19/2020,182.95,31.04,22.57,85.52,Business Services
HCA,81.83,-46.94,-5.5,10.5,7.97,7.23%,39.05%,Medical,28397550000,28.4,1.72,58.38,3/18/2020,151.97,83.73,28.66,46.15,Retail-Wholesale
AEE,68.75,-14.41,-5.49,3.35,20.22,70.16%,-2.36%,Utilities,17683640000,17.68,1.98,58.74,3/23/2020,87.65,67.73,14.56,21.56,Utilities
AEP,72.5,-22.95,-10.9,4.25,17.55,36.18%,-8.57%,Utilities,37998228000,38,2.8,65.14,3/23/2020,104.97,74.57,10.15,30.93,Utilities
AES,12.24,-5.19,-1.21,1.37,9.34,-1.21%,-40.58%,Utilities,8659042000,8.66,0.57,8.11,3/18/2020,21.23,12.8,33.74,42.35,Utilities
AFL,32.41,-10.92,-2.99,4.44,7.18,-1.33%,-1.85%,Finance,22997524000,23,1.12,23.07,3/18/2020,57.18,31.9,28.82,43.32,Finance
AGN,175.71,-16.23,2.71,17.64,9.91,-39.77%,23.17%,Medical,58411016000,58.41,2.96,114.27,6/17/2019,202.21,174.9,34.97,13.11,Medical
AIG,20.46,-21.03,-5.05,4.6,4.7,-62.45%,-22.76%,Finance,18560218000,18.56,1.28,16.07,3/18/2020,58.66,21.61,21.46,65.12,Finance
AIV,30.64,-18.89,-4.34,3.19,12.93,-17.47%,-7.12%,Finance,4649595000,4.65,1.64,24.53,3/24/2020,55.68,32.32,19.94,44.97,Finance
AIZ,98.75,-24.5,-5.95,8.49,12.03,61.94%,-2.84%,Finance,5985990000,5.99,2.52,76.27,3/19/2020,142.61,102.12,22.76,30.76,Finance
AJG,76.26,-24.43,-3.91,3.66,21.04,65.29%,55.52%,Finance,14933447000,14.93,1.8,65.09,3/18/2020,109.46,77,14.65,30.33,Finance
AKAM,95.36,5.08,4.75,3.55,25.8,30.33%,47.34%,Computers and Technology,15074453000,15.07,0,72.33,4/4/2019,103.34,91.6,24.15,7.72,Computers and Technology
ALB,52.7,-30.09,-2.32,6.04,9.08,-8.66%,46.77%,Basic Materials,5705078000,5.71,1.54,48.89,3/23/2020,99.4,54.84,7.23,46.98,Basic Materials
ALGN,154.2,-70.36,-22.84,4.96,31.69,180.11%,216.00%,Medical,11975968000,11.98,0,127.88,3/19/2020,334.64,157.2,17.07,53.92,Medical
ALK,24.69,-22.68,-5.18,6.43,4.1,-61.43%,63.58%,Transportation,3022946000,3.02,0,20.02,3/18/2020,72.22,26.35,18.91,65.81,Transportation
ALL,85.96,-23.24,-2.5,10.45,8.27,19.10%,26.78%,Finance,27188052000,27.19,2.16,64.13,3/18/2020,125.92,86.4,25.4,31.73,Finance
ALLE,84.04,-35.3,-7.58,4.89,17.3,37.85%,34.73%,Industrial Products,7844053000,7.84,1.28,77.37,3/23/2020,139.24,84.59,7.94,39.64,Industrial Products
ALXN,89.77,-3.95,5.76,9.71,9.26,-50.54%,123.44%,Medical,20066736000,20.07,0,72.67,3/16/2020,141.86,89.93,19.05,36.72,Medical
AMAT,42.28,-15.76,-2.77,3.22,13.45,92.18%,61.02%,Computers and Technology,39707508000,39.71,0.84,36.64,3/18/2020,69.44,43.3,13.34,39.11,Computers and Technology
AMCR,7.84,-1.75,0.04,0.42,0,0.00%,117.76%,Industrial Products,13121105000,13.12,0.46,5.8,3/16/2020,11.77,7.86,26.02,33.39,Industrial Products
