Symbol,Name,Last,"20D MA Str","50D MA Str","20D MA Dir","Analyst Rating","Surprise% 2-Qtrs Ago","Surprise% 3-Qtrs Ago","Surprise% 4-Qtrs Ago","3Y Return","5Y Return","5Y Earn%","5Y Rev%"
CCI,"Crown Castle International Corp",167.05,Strong,Average,Strengthening,4,+10.71%,+8.03%,+5.84%,74.87%,94.29%,73.08%,56.18%
CCL,"Carnival Corp",12.56,Weak,Soft,Weakening,3,+21.57%,+3.95%,+8.20%,-78.70%,-72.92%,124.49%,31.11%
CDNS,"Cadence Design Sys",78.65,Maximum,Strong,Weakening,4.22,+9.09%,+5.56%,+22.86%,139.20%,314.17%,358.44%,47.78%
CDW,"CDW Corp",108.82,Average,Weak,Strengthening,3.5,+12.67%,+6.90%,+14.95%,88.40%,179.96%,159.48%,49.34%
CE,"Celanese Corp",78.16,Weak,Weak,Strengthening,4.13,+1.20%,+0.85%,+5.22%,-11.58%,18.69%,68.08%,-7.42%
CERN,"Cerner Corp",70.01,Average,Weak,Strengthening,4.45,-1.69%,+3.45%,+1.82%,18.72%,-4.51%,57.52%,67.30%
CF,"Cf Industries Holdings",28.29,Weak,Soft,Weakening,3.89,-14.71%,+58.02%,-3.57%,8.81%,-51.96%,-46.54%,-3.23%
CFG,"Citizens Financial Group Inc/Ri",19.87,Weak,Soft,Strengthening,4.33,+3.13%,+2.08%,+2.13%,-43.07%,-22.29%,170.42%,50.99%
CHD,"Church & Dwight Company",73.55,Average,Soft,Strongest,3.43,+8.20%,+9.62%,+6.06%,46.37%,75.22%,63.58%,32.15%
CHRW,"C.H. Robinson Ww",74.23,Strong,Soft,Strengthening,3.44,-7.76%,+0.83%,+2.65%,-3.02%,5.07%,37.38%,13.66%
CHTR,"Charter Communicatio",499.42,Average,Weak,Weakest,4.2,+4.82%,-22.35%,-17.16%,47.55%,168.87%,501.06%,402.46%
CI,"Cigna Corp",194.13,Average,Weak,Strengthening,4.75,+3.89%,+15.28%,+4.28%,25.18%,48.58%,129.48%,339.84%
CINF,"Cincinnati Financial",85.8,Soft,Weak,Strengthening,2.67,+16.13%,+32.81%,+11.70%,22.26%,63.24%,57.89%,60.24%
CL,"Colgate-Palmolive Company",73.42,Strong,Soft,Strengthening,3.71,+1.43%,-1.37%,+1.52%,0.55%,6.14%,-3.41%,-9.17%
CLX,"Clorox Company",193.5,Average,Average,Weakest,2.82,+3.25%,+1.62%,-2.04%,44.09%,77.13%,40.76%,11.14%
CMA,"Comerica Inc",30,Weak,Average,Weakening,2.75,+1.05%,-3.48%,+7.22%,-56.34%,-34.33%,147.94%,45.80%
CMCSA,"Comcast Corp A",38.08,Soft,Weak,Strengthening,4.35,+5.33%,+4.00%,+15.15%,-0.21%,27.70%,112.93%,58.40%
CME,"CME Group Inc",191.62,Soft,Weak,Strengthening,3.83,+8.57%,+0.57%,+1.25%,61.34%,113.17%,101.18%,56.40%
CMG,"Chipotle Mexican Grill",820.27,Average,Soft,Strengthening,3.64,+19.37%,+8.13%,+12.96%,71.21%,28.67%,-0.57%,35.98%
CMI,"Cummins Inc",149.18,Soft,Weak,Strengthening,3.47,-0.26%,-2.51%,+19.66%,2.49%,9.29%,64.84%,22.63%
CMS,"Cms Energy Corp",63.17,Average,Weak,Strongest,3.8,+17.74%,-25.00%,-2.60%,39.79%,79.66%,40.68%,-4.65%
CNC,"Centene Corp",71.29,Maximum,Strong,Strengthening,4.94,+1.05%,+8.06%,+5.30%,101.84%,93.54%,281.03%,350.72%
CNP,"Centerpoint Energy Inc",16.53,Weak,Soft,Strengthening,3.5,+23.26%,+12.90%,-8.00%,-41.22%,-21.47%,32.59%,33.33%
COF,"Capital One Financial Corp",54.63,Weak,Soft,Strengthening,4.2,+15.68%,+18.66%,+8.21%,-33.92%,-32.09%,59.50%,41.46%
COG,"Cabot Oil & Gas Corp",20.96,Maximum,Maximum,Strongest,4.24,+16.00%,+12.90%,+9.38%,-12.96%,-36.54%,72.34%,-4.91%
COO,"Cooper Companies",306.28,Soft,Weak,Strongest,4.46,+0.92%,+2.22%,+6.52%,53.80%,68.52%,69.41%,54.47%
COP,Conocophillips,35.26,Weak,Weak,Strengthening,4.47,+5.13%,-2.88%,+8.70%,-26.14%,-47.77%,-32.26%,-33.95%
COST,"Costco Wholesale",317.92,Strong,Average,Strengthening,4.05,+1.76%,+5.91%,+3.28%,86.17%,114.64%,76.13%,35.57%
COTY,"Coty Inc",5.75,Weak,Soft,Weakest,3.22,+16.67%,unch,+8.33%,-67.33%,-76.80%,-14.47%,90.01%
CPB,"Campbell Soup Company",50.34,Average,Soft,Weakening,3.36,+13.04%,+2.44%,+21.74%,-12.22%,9.89%,-10.16%,-1.95%
CPRI,"Capri Holdings Ltd",12.93,Weak,Soft,Weakening,3.57,-7.20%,+5.56%,+3.28%,-64.83%,-79.63%,54.35%,58.21%
CPRT,"Copart Inc",72.1,Weak,Soft,Strongest,4,+10.17%,+5.26%,+8.20%,138.43%,287.95%,188.46%,75.50%
CRM,"Salesforce.com Inc",162.62,Soft,Weak,Strongest,4.93,-28.57%,+177.78%,+107.14%,94.08%,139.75%,"2,140.00%",218.19%
CSCO,"Cisco Systems Inc",42.48,Soft,Weak,Strengthening,4.16,+4.05%,+1.33%,+2.90%,29.43%,47.40%,52.41%,10.10%
CSX,"CSX Corp",62.77,Soft,Weak,Strengthening,3.79,+6.93%,-2.70%,+12.09%,23.64%,69.10%,117.19%,-5.78%
CTAS,"Cintas Corp",204.16,Soft,Soft,Strongest,3.45,+11.27%,+8.41%,+6.70%,65.80%,148.58%,172.40%,51.42%
CTL,Centurylink,10.25,Soft,Soft,Strongest,2.31,-3.12%,+9.68%,+25.93%,-59.52%,-71.85%,-49.43%,24.24%
CTSH,"Cognizant Tech Sol",53.81,Soft,Weak,Strengthening,2.84,+2.86%,+1.08%,-11.65%,-6.98%,-9.91%,64.88%,63.53%
CTVA,"Corteva Inc",25.51,Weak,Weak,Weakening,3.91,+15.22%,+91.89%,N/A,0.00%,0.00%,0.00%,0.00%
CTXS,"Citrix Systems Inc",150.41,Average,Maximum,Strengthening,3.75,+32.14%,-14.89%,+9.30%,81.02%,182.00%,55.26%,-4.21%
CVS,"CVS Corp",63.36,Average,Weak,Strongest,4.41,+3.95%,+11.18%,+8.00%,-20.08%,-37.63%,67.77%,84.24%
CVX,"Chevron Corp",87.17,Soft,Weak,Strengthening,4.6,+8.16%,+30.46%,+10.32%,-16.89%,-20.66%,-38.17%,-30.88%
CXO,"Concho Resources Inc",51.94,Soft,Weak,Strengthening,4.48,-7.58%,-6.76%,-1.37%,-59.43%,-58.73%,-24.13%,72.62%
D,"Dominion Resources",81.51,Soft,Weak,Strengthening,3.4,+1.72%,+2.67%,-1.79%,5.12%,10.84%,23.62%,33.26%
DAL,"Delta Air Lines Inc",24.27,Weak,Average,Average,4.3,+2.20%,+2.62%,+6.67%,-46.69%,-48.34%,123.55%,16.46%
DD,"Du Pont De.Nemours Inc",38.36,Soft,Weak,Strengthening,4.33,+1.05%,+12.79%,+20.00%,-56.58%,-47.20%,-59.27%,-63.02%
DE,"Deere & Company",138.46,Weak,Weak,Strengthening,3.75,+0.47%,-3.21%,-1.68%,28.75%,56.65%,15.18%,8.85%
DFS,"Discover Financial Services",35.04,Weak,Soft,Strengthening,3.67,+3.06%,+9.95%,+7.50%,-47.09%,-39.99%,73.95%,45.55%
DG,"Dollar General Corp",182.11,Maximum,Maximum,Strengthening,4.41,+2.90%,+10.13%,+6.47%,157.51%,137.71%,92.29%,46.77%
DGX,"Quest Diagnostics Inc",95.4,Average,Weak,Strongest,3.5,+2.33%,+2.37%,+2.94%,-7.65%,25.84%,60.00%,3.91%
DHI,"D.R. Horton",39.88,Weak,Soft,Strengthening,4.24,+8.00%,+18.87%,+8.14%,21.33%,50.09%,186.00%,119.23%
DHR,"Danaher Corp",156.53,Strong,Soft,Strongest,4.54,+0.87%,+3.48%,+5.94%,91.59%,87.91%,20.11%,-10.06%
DIS,"Walt Disney Company",106.63,Soft,Weak,Strengthening,4.27,+12.63%,-23.30%,+1.26%,-6.82%,-2.65%,33.56%,42.52%
DISCA,"Discovery Comm A",22.14,Soft,Soft,Strengthening,4.75,+4.82%,-1.01%,+10.13%,-24.07%,-32.31%,100.54%,77.88%
DISCK,"Discovery Comm Inc",20.2,Soft,Soft,Strengthening,3,N/A,+4.82%,-9.76%,-29.49%,-34.88%,100.54%,77.88%
DISH,"Dish Network Corp",22.52,Weak,Soft,Strongest,3.44,+11.86%,-9.09%,unch,-62.22%,-67.79%,27.45%,-12.54%
DLR,"Digital Realty Trust",149.2,Strong,Maximum,Strongest,4.14,+1.83%,+0.61%,+4.85%,32.18%,123.62%,155.43%,98.54%
DLTR,"Dollar Tree Inc",81.73,Soft,Weak,Strongest,3.65,-3.57%,-4.17%,-0.87%,3.71%,0.73%,52.56%,174.47%
DOV,"Dover Corp",88.49,Soft,Weak,Strengthening,4,+4.58%,+0.65%,+10.71%,38.09%,48.33%,30.62%,-7.95%
DOW,"Dow Inc",33.42,Weak,Weak,Strengthening,3.75,+26.39%,+1.18%,N/A,0.00%,0.00%,0.00%,0.00%
DRE,"Duke Realty Corp",34.92,Average,Weak,Strengthening,4,unch,+2.86%,+3.13%,25.93%,71.01%,187.80%,-16.39%
DRI,"Darden Restaurants",63.35,Weak,Soft,Strengthening,4.13,+4.67%,+1.47%,+1.73%,-24.73%,-5.46%,242.35%,35.40%
DTE,"Dte Energy Company",105.85,Soft,Weak,Weakening,4.09,-4.50%,-9.17%,+5.13%,1.83%,27.82%,36.96%,2.99%
DUK,"Duke Energy Corp",90.1,Soft,Weak,Strengthening,3.55,+5.92%,+14.29%,+2.48%,9.60%,13.46%,11.21%,4.82%
DVA,"Davita Healthcare Partners Inc",78.16,Average,Weak,Strongest,3.75,+24.39%,+10.91%,-4.21%,15.38%,-6.85%,48.35%,-10.99%
DVN,"Devon Energy Corp",9.22,Weak,Soft,Strengthening,4.12,+36.84%,+19.44%,+20.00%,-76.79%,-86.14%,-71.89%,-68.21%
DXC,"Dxc Technology Company",15.33,Weak,Soft,Strengthening,3.83,-4.17%,+1.75%,+5.80%,-79.91%,0.00%,113.30%,59.66%
EA,"Electronic Arts Inc",115.15,Strong,Average,Weakest,4.23,+12.70%,-62.50%,+55.13%,25.24%,92.27%,222.13%,38.46%
EBAY,"Ebay Inc",37.46,Strong,Soft,Strengthening,3.63,+3.92%,+10.20%,+7.84%,16.39%,50.26%,-5.31%,-39.67%
ECL,"Ecolab Inc",178.75,Soft,Weak,Strengthening,3.53,-0.58%,+0.71%,+0.98%,41.64%,54.64%,39.23%,4.38%
ED,"Consolidated Edison Company of New York",89.56,Average,Weak,Strongest,2.45,-3.14%,-3.33%,+2.22%,13.24%,43.30%,12.92%,-2.67%
EFX,"Equifax Inc",127.97,Soft,Soft,Strengthening,3.88,+2.78%,+2.94%,+0.84%,-6.82%,29.93%,44.47%,43.97%
EIX,"Edison International",62.06,Soft,Weak,Strongest,4.11,-2.61%,+37.39%,-28.41%,-23.00%,0.78%,3.52%,-7.95%
EL,"Estee Lauder Companies",174.26,Soft,Weak,Strongest,3.65,+4.37%,+20.75%,+19.23%,104.58%,111.84%,68.99%,35.50%
EMN,"Eastman Chemical Company",55.1,Soft,Weak,Strengthening,4.71,-2.51%,-4.78%,-7.33%,-30.53%,-26.99%,0.85%,-2.67%
EMR,"Emerson Electric Company",50.54,Weak,Soft,Strengthening,3.75,unch,unch,unch,-14.34%,-12.33%,-1.60%,-25.13%
EOG,"Eog Resources",41.84,Weak,Soft,Strengthening,4.35,-0.88%,-1.50%,+15.53%,-55.29%,-56.74%,0.61%,-3.63%
EQIX,"Equinix Inc",694.95,Strong,Strong,Strengthening,4.61,+11.29%,+14.79%,+15.31%,72.94%,182.42%,97.04%,127.60%
