Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,delta for current price from 52W Low,delta for current price from 52W High
TSCO,84,-4.51,7.07,4.68,18.28,-3.13%,46.22%,Retail-Wholesale,9809914000.00,9.81,1.4,63.89,3/17/2020,114.25,85.55,23.94,26.48
TSN,55.34,-12.49,-7.85,5.54,10.68,46.95%,12.84%,Consumer Staples,21124690000.00,21.12,1.68,42.57,3/18/2020,94.24,59.15,23.08,41.28
TT,80.89,-48.15,-4.23,6.37,13.23,20.41%,28.76%,Business Services,19689538000.00,19.69,2.12,32.58,3/2/2020,146.85,84.3,59.72,44.92
TTWO,116.33,8.85,6.61,2.92,40.59,369.37%,13.52%,Consumer Discretionary,13453221000.00,13.45,0,87.97,4/17/2019,135.7,118.51,24.38,14.27
TWTR,23.32,-9.88,-2.65,0.49,52.22,-52.71%,146.57%,Computers and Technology,19212968000.00,19.21,0,20,3/18/2020,45.85,25.59,14.24,49.14
MO,37.61,-2.76,3.24,4.1,9.1,-26.36%,2.40%,Consumer Staples,71863048000.00,71.86,3.36,30.95,3/23/2020,57.88,37.31,17.71,35.02
TXT,24.86,-15.74,-1.17,3.75,7.38,-42.17%,-1.79%,Aerospace,6071293000.00,6.07,0.08,20.26,3/23/2020,58,27.67,18.50,57.14
UA,7.45,-5.03,-0.79,0.34,24.74,0.00%,70.77%,Consumer Staples,3641718000.00,3.64,0,6.79,3/23/2020,24.55,8.41,8.86,69.65
UAA,8.26,-5.93,-1.03,0.34,28.15,-78.01%,70.77%,Consumer Staples,4161317000.00,4.16,0,7.61,3/19/2020,27.72,9.57,7.87,70.20
UAL,25.65,-35.94,-10.95,12.1,2.49,-48.32%,11.20%,Transportation,7822854000.00,7.82,0,17.8,3/18/2020,96.03,30.16,30.60,73.29
UDR,32.98,-12,0.09,0.6,18.05,10.76%,40.85%,Finance,10765817000.00,10.77,1.37,29.2,3/23/2020,51.25,37.72,11.46,35.65
UHS,87.92,-35.82,-0.03,9.99,10.02,-16.35%,41.08%,Medical,8591325000.00,8.59,0.8,65.2,3/19/2020,157.79,100.13,25.84,44.28
